Filename,Sum_Rewards,Steps,Difference,Significant_Increase_Index
E1A6G6T25,359,6.0,0.0015101216610079,4.0
E1A6G6T26,384,6.0,0.0016523071031129,3.0
E1A6G6T27,387,6.0,0.0017703917230641,27.0
E1A6G6T28,375,6.0,0.0017308369577125,
E1A6G6T29,385,6.0,0.001684759579303,9.0
E1A6G6T3,355,6.0,0.0014781893465617,3.0
E1A6G6T30,381,6.0,0.0015733980048771,4.0
E1A6G6T31,346,6.0,0.0013925101762717,3.0
E1A6G6T32,353,7.0,0.0014250535139853,5.0
E1A6G6T33,377,6.0,0.0017043943991976,3.0
E1A6G6T34,417,6.0,0.0019198687054095,3.0
E1A6G6T35,362,6.0,0.0015672945264941,4.0
E1A6G6T36,387,6.0,0.0015971840033121,4.0
E1A6G6T37,373,6.0,0.001666434120262,4.0
E1A6G6T38,355,6.0,0.001489053228243,7.0
E1A6G6T39,368,6.0,0.0016400313192554,6.0
E1A6G6T4,371,6.0,0.0016732917538625,21.0
E1A6G6T40,375,6.0,0.0016475760930839,5.0
E1A6G6T5,366,6.0,0.0016047863432098,3.0
E1A6G6T6,362,6.0,0.0016170486046279,4.0
E1A6G6T7,367,6.0,0.0015892249910029,13.0
E1A6G6T8,407,6.0,0.0017537729026879,8.0
E1A6G6T9,414,6.0,0.0020857628778623,31.0
E1A6G9T1,348,7.0,0.0230089166150183,3.0
E1A6G9T10,339,7.0,0.0236293857546756,8.0
E1A6G9T11,351,7.0,0.0233890068298078,4.0
